entity_id,type,code,canonical_name,tier,market_cap_bil,aliases,parent,gics1,gics2,gics3,sources
TICKER:AMP,TICKER,AMP,CTCP Armephaco,2,169.0,CTCP Armephaco | Armephaco,,Y tế,Dịch vụ & thiết bị y tế,Thiết bị & Vật tư y tế,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AMS,TICKER,AMS,CTCP Cơ khí Xây dựng AMECC,1,444.0,CTCP Cơ khí Xây dựng AMECC | Cơ khí Xây dựng AMECC,,Công nghiệp,Tư liệu sản xuất,Máy công nghiệp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AMV,TICKER,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,2,131.11,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ | Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,,Y tế,Dịch vụ & thiết bị y tế,Thiết bị & Vật tư y tế,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ANI,TICKER,ANI,CTCP ANI,1,1127.97,CTCP ANI | ANI,,,,,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx
TICKER:ANT,TICKER,ANT,CTCP Rau quả Thực phẩm An Giang,1,529.35,CTCP Rau quả Thực phẩm An Giang | Rau quả Thực phẩm An Giang,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ANV,TICKER,ANV,CTCP Nam Việt,1,4073.71,CTCP Nam Việt | Nam Việt,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:APC,TICKER,APC,CTCP Chiếu xạ An Phú,2,105.5,CTCP Chiếu xạ An Phú | Chiếu xạ An Phú,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:APF,TICKER,APF,CTCP Nông sản Thực phẩm Quảng Ngãi,1,1592.16,CTCP Nông sản Thực phẩm Quảng Ngãi | Nông sản Thực phẩm Quảng Ngãi,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:APG,TICKER,APG,CTCP Chứng khoán APG,1,1015.24,CTCP Chứng khoán APG | Chứng khoán APG,,Tài chính,Công ty chứng khoán,Công ty chứng khoán,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:APH,TICKER,APH,CTCP Tập đoàn An Phát Holdings,1,1634.02,CTCP Tập đoàn An Phát Holdings | An Phát Holdings,,Công nghiệp,Tư liệu sản xuất,Công nghiệp đa ngành,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
